"R_Med_Tests","Units","Min","First_Q","Median","Mean","Third_Q","Max","Total_Data_Points","Num_Outlier","Outlier_Per"
"CREATININE, BODY FLUID","mg/dL",0.4,0.855,1,1.61153846153846,1.49,20.1,39,2,0.0513
"ATYPICAL CELLS ABS","K/cu mm",0,0,0,1.01153846153846,0,36.39,39,8,0.2051
"BETA, SERUM - SPEP","g/dL",0.5,0.61,0.69,0.719230769230769,0.785,1.3,39,2,0.0513
"RETICULOCYTE COUNT","%",0.2,1.225,1.7,1.95789473684211,2.3,6.6,38,2,0.0526
"FEV1/FVC PRE (% REF)","%",50,83.25,94.5,91.3684210526316,102,121,38,1,0.0263
"SODIUM, WHL BLD, POC","mmol/L",129,134.25,139,138.947368421053,142.75,154,38,0,0
"HDL, CHOLESTEROL - LIPID LAB","mg/dl",39,47.25,62,60.1052631578947,71.75,81,38,0,0
"TOTAL TRIGLYCERIDE - LIPID LAB","mg/dl",54,70.5,142,151.184210526316,204.5,415,38,1,0.0263
"DLCO/VA ADJ PRE","ml/min/mmHg/L",2.19,3.0625,3.495,3.69947368421053,4.155,6.65,38,1,0.0263
"LAST DOSE DATE","",20060202,20070214,20080110,20078181.8108108,20090708,20100531,37,0,0
"POTASSIUM, WHL BLD, POC","mmol/L",3.1,3.7,4.1,4.22432432432432,4.6,6.3,37,1,0.027
"RVSP (MMHG)","",16,25,35,37.4054054054054,45,78,37,1,0.027
"RBC, BODY FLUID","cu mm",32,870,3094,114880.722222222,31874.75,1469000,36,6,0.1667
"DLCO/VA ADJ PRE (% REF)","%",52,73.75,84.5,89.3333333333333,101.75,136,36,0,0
"DLCO PRE (% REF)","%",36,51,71,72.5,87.75,134,36,0,0
"NEUTROPHIL%(BF)","%",0,4,23.5,36.9166666666667,71.25,100,36,0,0
"CA-125, SERUM","U/mL",3,8,17.5,264.694444444444,59.75,3340,36,6,0.1667
"TOTAL CHOLESTEROL - LIPID LAB","mg/dl",145,169.5,182,188.142857142857,203,245,35,0,0
"D-DIMER (PE OR DIC)","ug/mLFEU",0.24,0.395,1.99,37.5528571428571,3.11,695,35,3,0.0857
"DLCO PRE","ml/min/mmHg",6.22,12.35,16.59,17.0542857142857,20.835,33.82,35,1,0.0286
"RETIC ABSOLUTE #","K/cu mm",21.4,43.55,70.6,70.9117647058823,85.375,242.5,34,1,0.0294
"NEUTRO #","10^3/uL",0,1.4,2.55,3.69411764705882,5.775,14.6,34,1,0.0294
"MV E?","",0,0.1,0.1,0.1,0.1,0.2,34,4,0.1176
"SIROLIMUS, WHOLE BLOOD","ng/mL",4.6,6.3,7.5,7.66666666666667,8.4,14,33,1,0.0303
"MACRO/MESOTHELIAL %(BF)","%",0,1,10,16.6969696969697,17,84,33,5,0.1515
"FVC % PRED","%",43,79,92,90.2121212121212,105,133,33,0,0
"HEPARIN, ENOXAPARIN LMW","U/mL",0.13,0.6525,0.76,0.7828125,0.93,1.66,32,2,0.0625
"TOTAL CHOLESTEROL","mg/dL",6,103.5,148.5,143.96875,180.75,310,32,1,0.0312
"ALBUMIN/CREAT RATIO, URINE","mg/gm",5,8,14,50.875,32.25,374,32,6,0.1875
"FEV1 MEASURED","L/S",0.8,1.345,2.11,2.10161290322581,2.705,3.58,31,0,0
"BANDS (%)","%",0,1.5,7,10.1290322580645,15,41,31,2,0.0645
"ALBUMIN URINE, RANDOM","mg/L",5,8.5,16,62.6774193548387,53,467,31,6,0.1935
"MONOCYTES %(BF)","%",0,2,5,12.8666666666667,17.25,70,30,3,0.1
"LDL CHOLESTEROL","mg/dL",32,69,82.5,86.3,98.75,167,30,2,0.0667
"CHROMOGRANIN A","ng/mL",21,79,126.5,540.366666666667,178,12631,30,1,0.0333
"URINE VOLUME - UCM","mL",620,1250,1620,1885.31034482759,2700,4600,29,0,0
"VANCOMYCIN, RANDOM","ug/mL",7,12.8,18.7,18.8586206896552,22.4,31.6,29,0,0
"CA-125 RIA, SERUM","U/ml",13,70,116,496.103448275862,291,4598,29,4,0.1379
"DLCO ADJ PRE","ml/min/mmHg",8,11,16.6,17.2851724137931,21.4,34.68,29,0,0
"NON-HDL-CHOL","mg/dL",96,121,126,129,134,178,29,6,0.2069
"IGA, SERUM","mg/dl",7,12,19,92.1379310344828,145,410,29,1,0.0345
"ESR (SED RATE)","",8,45,52,60.1034482758621,68,116,29,3,0.1034
"DLCO ADJ PRE (% REF)","%",35,58,76,76.4137931034483,93,148,29,1,0.0345
"LDL PARTICLE SIZE","nm",19.5,19.7,20.1,20.5206896551724,21.4,22.3,29,0,0
"PROLACTIN, SERUM","ng/ml",4,7,12.5,29.4357142857143,37.25,154,28,4,0.1429
"LYSINE PLASMA","umol/L",49,84.75,105.5,123.464285714286,168.25,259,28,0,0
"VALINE PLASMA","umol/L",59,75.75,92,108.642857142857,122.5,225,28,2,0.0714
"CA-125, CIA","U/mL",13,21.25,167.5,207.785714285714,281.75,1114,28,1,0.0357
"T3 TOTAL, SERUM","ng/dL",1.1,85.75,106,101.385714285714,130.5,185,28,2,0.0714
"PHENYLALANINE, PLASMA","umol/L",14,22.75,28,29.8571428571429,34.5,62,28,1,0.0357
"PHENOBARBITAL(PRIM), SERUM","ug/mL",18.5,22.3,23.45,27.5857142857143,27.075,62.4,28,4,0.1429
"LITHIUM, SERUM","mmol/L",0.37,0.5525,0.795,0.908928571428571,1.2,2.2,28,1,0.0357
"BILE ACIDS, TOTAL","umol/L",2,7.75,14,14.9285714285714,20,38,28,0,0
"PROMYELOCYTES #","K/cu mm",0,0,0,0.0340740740740741,0,0.3,27,5,0.1852
"LYMPHOCYTE %, MANUAL","%",2,4.5,13,15.7407407407407,24.5,41,27,0,0
"TYROSINE, PLASMA","umol/L",11,30,37,40.8888888888889,47,83,27,2,0.0741
"FIF50% PRE (% REF)","%",26,52,89,78.7037037037037,97.5,136,27,0,0
"FEF (25-75)","L/S",0.11,0.825,1.2,1.58296296296296,2.64,3.5,27,0,0
"O2 LITER FLOW, ART POC","L/min",-1,4,10,11.8888888888889,15,50,27,2,0.0741
"FEV1/FVC MEASURED","%",0.56,51,65,61.1985185185185,75,87,27,2,0.0741
"TAURINE PLASMA","umol/L",7,15.5,25.17,25.7438461538462,30,83,26,1,0.0385
"TOTAL CELLS COUNTED","",100,100,100,100,100,100,26,0,0
"CARBAMAZEPINE","ug/mL",2.3,7.325,9.4,9.05,11.2,18.9,26,1,0.0385
"HAPTOGLOBIN SERUM","mg/dL",30,111,244.5,234.076923076923,314.75,589,26,0,0
"FEV1 POST","L",0.98,1.5975,1.91,1.93153846153846,2.345,2.85,26,0,0
"CD4 (T HELPER CELLS)","/cu mm",122,401.75,483,465.538461538462,530.25,854,26,3,0.1154
"FLOW LYMPH PERCENT","%",0.1,0.8,1.5,1.8,2.05,7.4,26,3,0.1154
"PEF POST","L/sec",2.23,3.575,5.195,5.06653846153846,6.575,8.34,26,0,0
"LDL PARTICLE NUMBER BY NMR","nmol/L",482,834,943,955.615384615385,1097.25,1537,26,1,0.0385
"FEV1 % PRED","%",19,48.25,72,70.9230769230769,91.5,117,26,0,0
"PRIMIDONE, SERUM","ug/mL",1.5,9.025,9.95,10.8346153846154,11.55,33.4,26,3,0.1154
"FVC MEASURED","L",1.62,2.55,3.155,3.06653846153846,3.6425,4.37,26,0,0
"PROLINE PLASMA","umol/L",32,91,123,116.24,145,199,25,0,0
"ALANINE PLASMA","umol/L",121,215,272,316.44,424,585,25,0,0
"LEUCINE, PLASMA","umol/L",29,37,52,54.84,62,147,25,1,0.04
"FREE T3","pg/mL",0.9,2.4,2.6,2.68,3.1,3.7,25,1,0.04
"ARGININE PLASMA","umol/L",21,58,117,188,202,1016,25,3,0.12
"FEF25-75% POST","L/sec",0.33,0.67,1.3,1.36,1.81,4,25,1,0.04
"FVC POST (% REF)","%",54,73,80,79.88,89,99,25,0,0
"FEF25-75% POST (% REF)","%",17,40,55,54.88,72,110,25,0,0
"PARATHYROID INTACT, SERUM","pg/mL",14,106,233,401.4,704,913,25,0,0
"HISTIDINE PLASMA","umol/L",42,54.75,69.5,69.3333333333333,80.5,114,24,0,0
"LACTATE, VENOUS","mmol/L",0.5,1.05,1.2,1.40833333333333,1.8,2.9,24,0,0
"LARGE VLDL PARTICLE NUMBER","nmol/L",1.1,2.15,7.1,8.1125,9.225,28.3,24,3,0.125
"CD4 % (T HELPER CELLS)","%",17,19.75,23.5,27.6541666666667,32,54,24,0,0
"GLUTAMINE PLASMA","umol/L",175,497.25,634,655.5,813.5,1226,24,0,0
"ORNITHINE PLASMA","umol/L",21,43.25,72,96.0416666666667,120.25,355,24,1,0.0417
"MONOCYTE%, MANUAL","%",1,6,9,9.41666666666667,11.5,20,24,0,0
"HEP C QUANTITATIVE","IU/mL",39,285000,690000,1650770,1316224.5,9400000,23,3,0.1304
"CYSTINE PLASMA","umol/L",6,21,33,33.5652173913044,42.5,81,23,1,0.0435
"FEV1/FVC POST","%",43,53.5,68,64.9130434782609,73.5,86,23,0,0
"CEA","ng/mL",1,2.485,3.13,4.19608695652174,6.365,8.59,23,0,0
"CITRULLINE, PLASMA","umol/L",567,2092.5,2335,2288.86956521739,2577.5,3004,23,1,0.0435
"GLUTAMIC ACID, PLAS","umol/L",14,37.5,44,52.8695652173913,64,148,23,1,0.0435
"HDL PARTICLE NUMBER","umol/L",26.9,31.95,36.1,35.4652173913043,38,45.7,23,0,0
"C-REACTIVE PRTN, HS - LIPID LAB","mg/L",0.1,0.53,0.7,1.1904347826087,1.53,4.13,23,2,0.087
"ACTH, PLASMA","pg/mL",4,9.5,12,13.7391304347826,15.5,35,23,2,0.087
"VLDL SIZE","nm",40.7,47.15,48.3,49.5045454545455,52.175,65.5,22,2,0.0909
"FEV1 POST (% REF)","%",45,64.25,76.5,73.7727272727273,82.5,100,22,0,0
"VITAMIN D, 1, 25-DIHYDROXY","pg/mL",8,31,44.1,48.6590909090909,68.75,102,22,0,0
"HDL SIZE","nm",8,8.625,9.1,9.12727272727273,9.6,10.3,22,0,0
"RBC, CSF","/cu mm",1,2,38,4154.59090909091,358.75,29500,22,5,0.2273
"TRANSFERRIN, SERUM","mg/dL",61,178.25,250.5,229,273.75,428,22,1,0.0455
"LYMPHOCYTES % (CSF)","%",1,35.75,66.5,57.0909090909091,80,98,22,0,0
"INSULIN","uIU/mL",3,7.4,14,16.9363636363636,20.75,70,22,1,0.0455
"METHIONINE PLASMA","umol/L",13,19,23.5,25.6818181818182,29.75,69,22,1,0.0455
"DLCO/VA PRE (% REF)","%",58,68.25,72,80.5454545454545,85.75,123,22,3,0.1364
"ISOLEUCINE, PLASMA","umol/L",8,18.25,23.5,28.2272727272727,35.25,92,22,1,0.0455
"FEF (25-75) % PRED","%",5,27,37,57.5454545454545,100.5,148,22,0,0
"TOTAL PROTEIN, CSF","mg/dL",10,35.25,52,78.9090909090909,62.75,461,22,3,0.1364
"CD3 T-CELL COUNT","/cu mm",3,12.25,39.5,63.3636363636364,54.5,308,22,4,0.1818
"GLUCOSE, CSF","mg/dL",61,70,77,78.2857142857143,88,97,21,0,0
"FIF50% POST","L/sec",1.4,2.71,3.19,3.82571428571429,5.71,6.91,21,0,0
"LACTATE, POC ABL","mmol/L",0.3,1.1,2.6,2.82857142857143,3.9,7.4,21,0,0
"GLYCINE PLASMA","umol/L",92,118,147,150.952380952381,163,251,21,2,0.0952
"BASOPHILS %(BF)","%",0,0,0,0.285714285714286,0,2,21,5,0.2381
"DIFFERENTIAL, CSF","",15,46,64,66.8571428571429,100,100,21,0,0
"LDH, BODY FLUID","U/L",42,98,330,414,547,1956,21,1,0.0476
"CA 27-29, SERUM","U/mL",3.7,22.1,28.6,49.4333333333333,67.6,240.1,21,1,0.0476
"IRON SAT","%",3,8,28,28.7619047619048,43,83,21,0,0
"CREATININE CLEARANCE, UR","mL/min",6,21,59,50.1428571428571,69,114,21,0,0
"ED BG POC PO2","mmHg",16,34.5,50.5,48.25,61.5,85,20,0,0
"THREONINE PLASMA","umol/L",28,49.75,65.5,69.191,81.75,144,20,1,0.05
"CREATININE PLASMA, (CLR)","mg/dL",0.7,1.3,1.5,2.2045,2.45,5.75,20,1,0.05
"OSMOLALITY, PLASMA","mOsm/kg H20",232,267,275.5,279.75,294,313,20,0,0
"TOTAL T CELLS - CD3","%",3,35.25,38.5,37.25,49.5,61,20,3,0.15
"ASPARAGINE PLASMA","umol/L",20,32.25,41,45.8925,58.75,87,20,0,0
"ATIII ACTIVITY, PLASMA","U/mL",0.29,0.5775,0.75,10.2735,0.9775,108,20,2,0.1
"REACTIVE LYMPHS ABS","K/cu mm",0,0.0875,0.22,0.4125,0.59,1.79,20,1,0.05
"FVC POST","Liters",1.72,2.3125,2.86,2.9635,3.255,4.92,20,2,0.1
"TOTAL CELL COUNTED, BFL","",30,100,100,96.5,100,100,20,1,0.05
"THYROGLOBULIN AB","IU/mL",5.2,7.1,25,142.610526315789,248,742,19,1,0.0526
"DLCO/VA PRE","mL/mHg/min/L",2.27,2.93,3.17,3.46105263157895,3.65,6.31,19,3,0.1579
"EOSINOPHILS %(BF)","%",0,0,0,1.78947368421053,1.5,24,19,1,0.0526
"TOTAL T CELLS - CD2","%",8,36.5,46,41.5263157894737,50.5,63,19,2,0.1053
"METAMYELOCYTES ABS........","K/cu mm",0,0,0,0.298947368421053,0.35,1.6,19,3,0.1579
"ERV PRE","Liters",0.14,0.315,0.41,0.658947368421053,0.77,2.37,19,2,0.1053
"REACTIVE LYMPHS %","%",0,2.5,4.1,6.22105263157895,7.8,20.7,19,2,0.1053
"MONOCYTES % (CSF)","%",1,6.5,15,16.1052631578947,21,47,19,2,0.1053
"PROTEIN, BODY FLUID","g/dL",0.84,2.2875,3.35,170.912222222222,4.0425,3024.9,18,1,0.0556
"COMMENT (ICTERUS)","",1,1,1,1,1,1,18,0,0
"VALPROIC ACID","ug/mL",27.9,42.675,52.95,57.65,65.525,121.7,18,1,0.0556
"POST-VOID RESIDUAL (PVR)","ml",0,33,55.5,80.8888888888889,112,229,18,0,0
"VC PRE (% REF)","%",56,64.5,81,79.8333333333333,95.25,106,18,0,0
"FVC POST BD'S MEASURED","L",1.81,2.385,2.885,2.98277777777778,3.605,4.53,18,0,0
"ABSOLUTE NEUTROPHIL COUNT","",1.1,73.65,586.5,698.411111111111,1091.35,2387,18,0,0
"LARGE HDL PARTICLE NUMBER","umol/L",1.1,2.625,7.7,6.92222222222222,10.375,15.1,18,0,0
"CREATININE CONCENTRATION","mg/dL",24,30,31,49.1111111111111,65.5,104,18,0,0
"URINE COLLECTION","hr",23,24,24,23.9411764705882,24,24,17,1,0.0588
"DHEA, SERUM","ng/dL",18,69,101,154.588235294118,229,452,17,0,0
"INDIRECT BILIRUBIN","MG/DL",0.3,0.5,0.6,0.658823529411765,0.7,1.2,17,4,0.2353
"FEV1 BD'S % CHANGE","%",0,4,8,10.5882352941176,12,31,17,3,0.1765
"SMALL LDL PARTICLE NUMBER","nmol/L",113,238,299,448.294117647059,592,1431,17,1,0.0588
"MYELOCYTES ABS............","K/cu mm",0,0,0,0.0352941176470588,0,0.2,17,3,0.1765
"CARDIAC RISK RATIO","RATIO",1.9,3.7,4.5,4.78235294117647,4.8,9.4,17,3,0.1765
"FEV1/FVC POST (% REF)","%",65,86,90,89.6470588235294,97,112,17,3,0.1765
"DLCO/VA % PRED","%",47,61,86,84,109,122,17,0,0
"PEF POST (% REF)","%",37,56,75,71.7058823529412,87,109,17,0,0
"FEF(25-75) POST BD'S % PRED","%",1,26.5,40.5,46.375,66.75,101,16,0,0
"FRC PL PRE","L",1.32,2.0625,2.49,2.841875,3.3175,5.24,16,0,0
"LP INSULIN RESISTANCE SCORE","",13,41.25,70,59.1875,76.25,83,16,0,0
"GLUCOSE, BODY FLUID","mg/dL",19,76.5,98.5,93.6875,117.5,140,16,0,0
"FEV1 POST BD'S MEASURED","L",0.59,1.4875,1.87,1.909375,2.2475,3.01,16,0,0
"CD19 (TOTAL B-CELLS)","/cu mm",16,30,36,100.125,98,502,16,2,0.125
"TESTOSTERONE, ADULT MALE","ng/dL",26,241.75,349,393.25,520.25,984,16,1,0.0625
"SERINE PLASMA","umol/L",58,70,83.5,88.25,107,126,16,0,0
"PHOSPHOSERINE, PLAS","umol/L",6,7.75,9,12.0625,15.25,36,16,1,0.0625
"CALCIUM, SERUM","mg/dL",5.5,9.1,9.4,9.45,9.775,13.3,16,2,0.125
"FVC POST BD'S % PRED","",54,71,85,83.2,98,109,15,0,0
"HCG BETA, PLASMA","mIU/mL",1,1,2,5631.66666666667,3,61061,15,3,0.2
"GASTRIN, SERUM","pg/mL",10,25,37,459.266666666667,483,2810,15,2,0.1333
"NEUTROPHIL % (CSF)","%",0,1.5,5,21.4,15.5,94,15,3,0.2
"THYROXINE (T4) TOTAL","ug/dl",1,7.1,7.8,8.11133333333333,9.5,11.9,15,1,0.0667
"COMMENT (HEMO)","",1,1,1,1.33333333333333,1,4,15,3,0.2
"FEF (25-75) POST BD'S MEASURD","L/S",0.13,0.745,1.07,1.304,1.875,2.86,15,0,0
"WBC, CSF","/cu mm",1,1,3,274.6,23.5,3550,15,3,0.2
"EOSINOPHIL%, MANUAL","%",0,1.5,2,2.46666666666667,3,6,15,1,0.0667
"THYROGLOBULIN (TG-RIA)","ng/mL",3.6,9.05,12,14.6133333333333,20.2,33,15,0,0
"FEV1 POST BD'S % PRED","%",2,50,78,67.7333333333333,88.5,103,15,0,0
"HEXAGONAL APTT","sec",0,1.95,6.8,11.3333333333333,17.55,39.4,15,0,0
"POTASSIUM CONC, URINE","mmol/L",8,26,38,37.7333333333333,49,72,15,0,0
"POPULATION SHIFT","",10,21.75,97,95.2142857142857,143,225,14,0,0
"AB TO NUCLEAR AG","U/mL",0.39,2.88,7.58,134.202142857143,260.475,539,14,0,0
"REF URINE TIME","hrs",24,24,24,24,24,24,14,0,0
"DISTANCE WALKED-METERS","",207,289.25,302,294.357142857143,315.5,370,14,4,0.2857
"DLCO % PRED","%",42,53.5,71,75.2857142857143,98.5,107,14,0,0
"DLCO/VA MEASURED","ML/MIN/MM HG/L",2.11,2.9375,3.995,3.875,4.9,5.26,14,0,0
"CD8 (T SUPPRESSOR CELLS)","/cu mm",131,218,264.5,283.857142857143,355.25,462,14,0,0
"ALKALINE PHOSPHATASE TOTAL","U/L",47,58,106.5,102.642857142857,128,195,14,0,0
"BANDS %","%",0.9,7.125,9.65,16.0857142857143,21.175,60.5,14,1,0.0714
"EPSTEIN BARR VIRUS AB VCA IGG","U/mL",1.83,10.0625,85.25,123.324285714286,226.5,362,14,0,0
"CD56+, CD3- % (NK CELLS)","%",8,14.6,19.2,21.0285714285714,29.875,36.2,14,0,0
"DIFF, BODY FLUID","",100,100,100,100,100,100,14,0,0
"RV PRE","L",0.91,1.575,2.13,2.07857142857143,2.56,3.85,14,0,0
"COMMENT (LIPEMIA)","",1,1,1,1,1,1,14,0,0
"RV PRE (% REF)","%",43,78,93,98.3571428571429,105.25,180,14,2,0.1429
"PSA (% FREE)","%",6,14.3275,18,18.5157142857143,21.75,34,14,0,0
"DLCO MEASURED","ML/MIN/MM HG",9.06,11.49,15.32,16.8161538461538,23.75,24.96,13,0,0
"C'3 COMPLEMENT, SERUM","mg/dL",59,115,137,131.153846153846,151,173,13,1,0.0769
"TIME","Hrs:mins",0,0.041666667,0.083333333,134.636217948769,30,800,13,2,0.1538
"EJECTION FRACTION (%)","",0.55,20,20,18.5038461538462,20,20,13,1,0.0769
"TB AG","IU/mL",0.017,0.024,0.05,0.0986153846153846,0.093,0.44,13,2,0.1538
"GLOBULIN","",1.7,2.1,2.4,2.5,3.1,3.1,13,0,0
"UR PROT CONC-UPEP","",8.4,13,129,135.876923076923,194,448,13,0,0
"CALC % O2, ARTERIAL","% O2 Sat.",67.8,93,96.8,93.8461538461538,98.1,99.3,13,1,0.0769
"BLOOD GLUCOSE BY MONITOR","mg/dl",80,103,137,151.769230769231,163,265,13,2,0.1538
"BETA 2 MICROGLOBULIN, SERUM","mg/L",2.1,2.3,2.6,2.72153846153846,3,3.9,13,0,0
"PHENOBARBITAL","ug/mL",1.3,12,20.3,21.8230769230769,33.1,42.1,13,0,0
"SODIUM, WHOLE BLOOD","mmol/L",132,133,138,136.384615384615,139,140,13,0,0
"REACTIVE LYMPHS %(BF)","%",0,0,0,0.846153846153846,0,7,13,3,0.2308
"MAGNESIUM, POC","mg/dL",1.5,1.8,1.9,1.92307692307692,2,2.3,13,0,0
"REF URINE VOLUME","mL",50,860,1520,1800,2500,4500,13,0,0
"DVV TEST","sec",30.7,37.2,47.2,60.5615384615385,53.9,168.2,13,3,0.2308
"VISCOSITY, SERUM","cP",1.57,1.7,1.83,1.98153846153846,2.13,2.71,13,0,0
"IC PRE","L",0.98,1.64,2.02,1.97923076923077,2.35,3.07,13,0,0
"FRC PL PRE (% REF)","%",47,78,90,97.4615384615385,133,151,13,0,0
"OSMOLALITY, MEASURED","mOsm/kg H2O",264,274,313,302.538461538462,321,338,13,0,0
"A-AMINOBUTYRIC ACID, PLAS","umol/L",3,9,14,33.3846153846154,25,258,13,1,0.0769
"RV/TLC PRE","%",32,38,44,44.5384615384615,51,56,13,0,0
"CD56+, CD3- (NK CELLS)","/cu mm",79,112,141,187.461538461538,248,411,13,0,0
"SQUAMOUS EPITHELIAL (UR)","/hpf",0,1.75,4,38.4166666666667,58.25,176,12,1,0.0833
"NIL","IU/mL",0.03,0.049,0.064,0.0961666666666667,0.128,0.214,12,0,0
"COPPER","ug/dL",56,85.25,108,108.583333333333,117.75,191,12,1,0.0833
"PTH - OPERATIVE","pg/mL",10.4,21.425,42.8,72.275,103.5,212,12,0,0
"C-REACTIVE PRTN, HIGH SENS","mg/L",0.2,1.6,4.05,7.5975,4.95,49,12,2,0.1667
"ZINC","ug/dL",47,52,62.5,65.5,71.25,109,12,1,0.0833
"TOTAL CO2 ART, POC","",19.2,21.75,24,24.6333333333333,27.9,29.5,12,0,0
"VIT D3 25-HYDROXY LEVEL","ng/mL",5,17.75,27,27.75,35.75,65,12,0,0
"URINE VOLUME","mL",1360,1598.25,1770,2197.33333333333,2856.25,4500,12,0,0
"THYROGLOBULIN (TG-ICMA)","ng/mL",0.1,1.925,4.05,11.2083333333333,12,61,12,1,0.0833
"CD8 % (T SUPPRESSOR CELLS)","%",16,29.8,35.2,34.3666666666667,43.05,47.9,12,0,0
"TESTOST FREE CALC, ADULT MALE","pg/mL",3,41.25,48,75.5833333333333,88.75,200,12,0,0
"CD4/CD8 RATIO","Ratio",0.4,0.6,0.7,1.075,1.3,2.8,12,1,0.0833
"ERV PRE (% REF)","%",20,67.5,77.5,89.25,112.5,159,12,0,0
"TLC PRE","Liters",2.7,4.1875,4.68,4.79333333333333,5.18,7.71,12,1,0.0833
"TB AG-NIL","IU/mL",-0.034,-0.00475,0,-5e-04,0.0045,0.02,12,1,0.0833
"FREE PHENYTOIN CONC","ug/mL",0.9,1.075,1.35,1.375,1.55,2.1,12,0,0
"ERYTHROPOIETIN, SERUM","mU/mL",5,11.5,21,157.945454545455,110,995.8,11,2,0.1818
"LYMPHOCYTE NUMBER","/cu mm",433,604.5,740,911.818181818182,1174,1665,11,0,0
"FEV1/FVC POST BD'S MEASURD","%",0.61,56.5,60,58.1463636363636,72,78,11,1,0.0909
"FRC MEASURED","L",2.01,2.35,2.71,3.01272727272727,3.34,5.12,11,1,0.0909
"SMALL LDL-P","nmol/L",218,310,574,577.363636363636,713,1390,11,1,0.0909
"TESTOSTERONE (% FREE)","%",0.7,0.9,1.4,1.3,1.7,1.8,11,0,0
"RV % PRED","%",63,75,89,99.9090909090909,118.5,170,11,0,0
"ATYPICAL CELLS %(BF)","%",0,0,0,0,0,0,11,0,0
"CD3 (TOTAL T CELLS)","/cu mm",299,381,524,517.090909090909,632.5,781,11,0,0
"AB TO EARLY AG","U/mL",0.3,2.96,5.3,26.7372727272727,40.4,126,11,1,0.0909
"A/G RATIO","",1,1.125,1.2,1.482,1.955,2.2,10,0,0
"ALPHA-1, URINE - UPEP","mg/dL",2.13,3.375,5.77,11.093,13.6875,42.17,10,1,0.1
"CANCER AG BREAST (15-3)","U/mL",15,26,28.5,34.8,31.75,104,10,2,0.2
"TRIGLYCERIDE","mg/dl",61,113.75,188,174.5,219.5,288,10,0,0
"LDH, POC","U/L",163,186.5,201,197.6,208.75,225,10,0,0
"VC PRE","L",1.74,2.2975,2.47,2.581,2.925,3.42,10,0,0
"CD4% (T HELPER CELLS LYMPH QUANT)","%",20.5,26.1,29.5,31.95,34.55,48,10,0,0
"VIT D2 25-HYDROXY LEVEL","ng/mL",1,4,10,18.5,25.5,55,10,0,0
"METAMYELOCYTES #","K/cu mm",0,0.0225,0.145,0.156,0.29,0.33,10,0,0
"ASPARTIC ACID, PLAS","umol/L",2,2,3.12,3.724,4.75,9,10,0,0
"TESTOSTERONE (FREE)","pg/mL",2,12.45,36.5,38.31,65,80,10,0,0
"BANDS #","K/cu mm",0.03,0.14,0.19,0.433,0.79,1.29,10,0,0
"TOTAL VOLUME, URINE","mL",1080,1722.5,2215,2074,2525,2760,10,0,0
"CD 19 % (TOTAL B CELLS)","%",2.7,4.9,6.15,11.1,17.75,30,10,0,0
"TESTOST % FREE, ADULT MALE","%",1,1.625,2.2,2,2.4,2.5,10,0,0
"ALPHA 1 ANTITRYPSIN","mg/dL",117,132.25,144.5,157.1,161.75,280,10,1,0.1
"CREATININE, UR(REFERRAL)","mg/d",771,778.25,863,1042.6,1247.75,1744,10,0,0
"SEX HORMONE BINDING GLOBULIN","nmol/L",16,26.75,41,47.7,52,101,10,2,0.2
"TLC PRE (% REF)","%",56,78.5,86,85.5,97,105,10,0,0
"CALCIUM CONC, URINE","mg/dL",3.8,4.775,8.55,8.63,10.2,17.5,10,0,0
"RUBELLA IGG AB, SERUM","IU/mL",9,16.25,48.5,96.9,139,347,10,0,0
"IC PRE (% REF)","%",53,64.75,83.5,82.7,101,114,10,0,0
"OSMOLALITY, CALCULATED","mOsm/kgH20",252,274,285.5,288.4,304.25,323,10,0,0
"C'4 COMPLEMENT, SERUM","mg/dL",13,24.25,30,29.95,36.075,53,10,0,0
"UREA NITRO CONC, URINE","mg/dL",102,187.75,302.5,412.9,630,924,10,0,0
"ACT, POC","Seconds",112,135.25,186.5,278.6,318.5,828,10,1,0.1
"VITAMIN D","ng/mL",16.06,20.13,31,27.4955555555556,33,35,9,0,0
"MYELOCYTES %","%",0.8,0.9,0.9,1.74444444444444,1.7,4.4,9,2,0.2222
"BETA %, URINE - UPEP","%",4,4.9,5,5.81111111111111,7,8.6,9,0,0
"PSA (FREE)","ng/mL",0.3,0.46,1,1.11555555555556,1.8,2.4,9,0,0
"APTT PATIENT, 0 MINUTES","sec",39.6,44.7,48.8,51.5555555555556,56.9,71.1,9,0,0
"PHENYTOIN CONC, TOTAL","ug/mL",5,6,7,10,11,23,9,1,0.1111
"PROTEIN C ACTIVITY","U/mL",0.51,0.67,1.21,19.2266666666667,1.3,165,9,1,0.1111
"CALCIUM, URINE","mg/col.time",60,197,219,207,246,294,9,1,0.1111
"CO-OX METHEMOGLOBIN","%",1,1.2,1.2,1.28888888888889,1.3,1.7,9,3,0.3333
"BETA, URINE - UPEP","%",1.86,5.9,6.75,11.75,9.51,37.18,9,2,0.2222
"GAMMA, URINE - UPEP","mg/dL",2.3,6.54,14.74,18.9844444444444,27.41,54.24,9,0,0
"% BOUND PHENYTOIN","%",81.4,84.925,88.45,86.9625,89.325,90.6,8,0,0
"CORTISOL FREE URINE","ug/dL",1.5,2.075,3.3,5.775,5.6,20.2,8,1,0.125
"LIPOPROTEIN (A)","mg/dL",11,35,74.5,79.875,88,229,8,1,0.125
"CD3 % (TOTAL T CELLS)","%",60,64.675,71.05,70.025,75.175,77.9,8,0,0
